Country,EdLevel,Age,YearsCodePro,Salary
Germany,Bachelor degree,35-44 years old,18.0,98612.0
Italy,Bachelor degree,25-34 years old,2.0,32484.0
Canada,Master degree,45-54 years old,21.0,89739.0
France,Master degree,45-54 years old,24.0,131445.0
United States of America,Bachelor degree,25-34 years old,12.0,170000.0
Germany,Bachelor degree,35-44 years old,24.0,104413.0
United States of America,Bachelor degree,35-44 years old,19.0,180000.0
United States of America,Bachelor degree,18-24 years old,1.0,104000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,18-24 years old,1.0,53436.0
United States of America,Bachelor degree,25-34 years old,10.0,155000.0
Italy,Less than a Bachelors,18-24 years old,4.0,34804.0
Germany,Master degree,25-34 years old,5.0,133417.0
India,Bachelor degree,25-34 years old,9.0,22086.0
United States of America,Less than a Bachelors,35-44 years old,16.0,140000.0
Canada,Bachelor degree,35-44 years old,16.0,198447.0
United States of America,Bachelor degree,35-44 years old,10.0,11000.0
United States of America,Bachelor degree,45-54 years old,25.0,150000.0
Netherlands,Bachelor degree,35-44 years old,16.0,193744.0
Spain,Less than a Bachelors,18-24 years old,6.0,63808.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,15.0,125250.0
United States of America,Post grad,35-44 years old,19.0,200090.0
Germany,Less than a Bachelors,25-34 years old,7.0,37705.0
United States of America,Bachelor degree,45-54 years old,32.0,155000.0
Germany,Master degree,65 years or older,40.0,179823.0
Brazil,Less than a Bachelors,35-44 years old,20.0,28398.0
Brazil,Bachelor degree,35-44 years old,25.0,136432.0
United States of America,Bachelor degree,35-44 years old,15.0,103000.0
United States of America,Less than a Bachelors,35-44 years old,20.0,100000.0
Germany,Master degree,45-54 years old,30.0,97452.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,18-24 years old,1.0,81685.0
United States of America,Less than a Bachelors,45-54 years old,35.0,187000.0
Germany,Master degree,25-34 years old,8.0,58007.0
Spain,Bachelor degree,25-34 years old,6.0,46406.0
Canada,Post grad,65 years or older,37.0,69310.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,20.0,68071.0
United States of America,Bachelor degree,25-34 years old,11.0,120000.0
Canada,Less than a Bachelors,45-54 years old,25.0,84632.0
United States of America,Bachelor degree,35-44 years old,19.0,121000.0
Germany,Master degree,35-44 years old,13.0,26451.0
United States of America,Master degree,25-34 years old,6.0,150000.0
United States of America,Bachelor degree,45-54 years old,24.0,150000.0
Canada,Less than a Bachelors,25-34 years old,8.0,41586.0
United States of America,Less than a Bachelors,35-44 years old,14.0,130000.0
Spain,Bachelor degree,45-54 years old,20.0,98612.0
India,Bachelor degree,45-54 years old,27.0,133676.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,10.0,102106.0
Australia,Bachelor degree,35-44 years old,8.0,115717.0
Netherlands,Bachelor degree,25-34 years old,9.0,69609.0
United States of America,Bachelor degree,45-54 years old,30.0,120000.0
Canada,Less than a Bachelors,35-44 years old,25.0,91198.0
Canada,Less than a Bachelors,18-24 years old,5.0,61285.0
Australia,Master degree,45-54 years old,25.0,83212.0
Canada,Less than a Bachelors,25-34 years old,10.0,83902.0
Canada,Master degree,35-44 years old,18.0,87550.0
France,Master degree,25-34 years old,8.0,197225.0
Germany,Master degree,35-44 years old,15.0,69609.0
United States of America,Bachelor degree,35-44 years old,15.0,200000.0
United States of America,Bachelor degree,35-44 years old,13.0,170000.0
United States of America,Less than a Bachelors,35-44 years old,19.0,150000.0
Germany,Post grad,35-44 years old,15.0,92812.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,10.0,82910.0
Germany,Less than a Bachelors,25-34 years old,13.0,110214.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,10.0,136141.0
France,Bachelor degree,35-44 years old,9.0,60328.0
Canada,Post grad,25-34 years old,3.0,72958.0
United States of America,Master degree,45-54 years old,17.0,100000.0
Germany,Bachelor degree,35-44 years old,12.0,127616.0
United States of America,Bachelor degree,35-44 years old,20.0,175000.0
United States of America,Less than a Bachelors,45-54 years old,13.0,140000.0
Spain,Bachelor degree,45-54 years old,24.0,34804.0
United Kingdom of Great Britain and Northern Ireland,Master degree,45-54 years old,28.0,108913.0
Germany,Bachelor degree,18-24 years old,2.0,48726.0
Brazil,Bachelor degree,35-44 years old,27.0,27306.0
United States of America,Post grad,35-44 years old,15.0,170000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,13.0,58541.0
Germany,Post grad,45-54 years old,14.0,174022.0
Germany,Bachelor degree,35-44 years old,13.0,89331.0
Canada,Bachelor degree,45-54 years old,27.0,47423.0
Germany,Bachelor degree,35-44 years old,10.0,116015.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,10.0,61264.0
United States of America,Master degree,25-34 years old,2.0,43280.0
United States of America,Master degree,25-34 years old,3.0,140000.0
Canada,Bachelor degree,35-44 years old,13.0,156860.0
United States of America,Bachelor degree,35-44 years old,17.0,145000.0
United States of America,Bachelor degree,25-34 years old,4.0,90000.0
United States of America,Bachelor degree,25-34 years old,12.0,100000.0
United States of America,Bachelor degree,25-34 years old,5.0,140000.0
France,Master degree,35-44 years old,12.0,60328.0
Germany,Less than a Bachelors,35-44 years old,21.0,69609.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25-34 years old,5.0,89853.0
Spain,Less than a Bachelors,25-34 years old,16.0,174022.0
United States of America,Bachelor degree,45-54 years old,26.0,148000.0
Germany,Bachelor degree,35-44 years old,16.0,83531.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,30.0,85769.0
United States of America,Less than a Bachelors,25-34 years old,1.0,60000.0
United States of America,Bachelor degree,25-34 years old,5.0,130000.0
Italy,Master degree,25-34 years old,8.0,58007.0
United States of America,Bachelor degree,35-44 years old,19.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,25.0,163370.0
United States of America,Master degree,45-54 years old,28.0,76000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,45-54 years old,32.0,47105.0
Italy,Less than a Bachelors,45-54 years old,25.0,58007.0
France,Master degree,35-44 years old,13.0,78890.0
United States of America,Bachelor degree,18-24 years old,1.0,48000.0
United States of America,Bachelor degree,25-34 years old,3.0,170000.0
Germany,Master degree,35-44 years old,11.0,118335.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,13.0,115720.0
Netherlands,Bachelor degree,25-34 years old,2.0,64736.0
France,Master degree,25-34 years old,8.0,44086.0
United States of America,Master degree,35-44 years old,20.0,220000.0
France,Bachelor degree,25-34 years old,7.0,49886.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,17.0,61264.0
India,Less than a Bachelors,18-24 years old,1.0,50000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,10.0,163370.0
United States of America,Post grad,55-64 years old,35.0,150000.0
Brazil,Less than a Bachelors,25-34 years old,6.0,10194.0
United States of America,Less than a Bachelors,35-44 years old,15.0,180000.0
Canada,Bachelor degree,25-34 years old,10.0,196988.0
United States of America,Master degree,45-54 years old,25.0,130000.0
United States of America,Master degree,45-54 years old,25.0,220000.0
United States of America,Bachelor degree,25-34 years old,13.0,160000.0
Canada,Bachelor degree,35-44 years old,7.0,100683.0
Germany,Less than a Bachelors,18-24 years old,2.0,58007.0
United States of America,Bachelor degree,25-34 years old,9.0,135000.0
Australia,Master degree,55-64 years old,38.0,68910.0
France,Post grad,45-54 years old,25.0,46406.0
United States of America,Bachelor degree,55-64 years old,28.0,135000.0
United States of America,Master degree,45-54 years old,28.0,230000.0
Germany,Less than a Bachelors,35-44 years old,10.0,75410.0
United States of America,Post grad,35-44 years old,14.0,155000.0
United States of America,Bachelor degree,25-34 years old,8.0,185000.0
United States of America,Less than a Bachelors,25-34 years old,10.0,78000.0
United States of America,Master degree,55-64 years old,35.0,80000.0
United States of America,Bachelor degree,25-34 years old,2.0,92000.0
United Kingdom of Great Britain and Northern Ireland,Post grad,35-44 years old,15.0,80323.0
Canada,Bachelor degree,25-34 years old,4.0,62015.0
United States of America,Bachelor degree,25-34 years old,8.0,160000.0
United States of America,Bachelor degree,25-34 years old,3.0,100000.0
United States of America,Bachelor degree,35-44 years old,15.0,225000.0
United States of America,Bachelor degree,35-44 years old,18.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,45-54 years old,30.0,240970.0
United States of America,Bachelor degree,35-44 years old,11.0,150000.0
United States of America,Bachelor degree,18-24 years old,4.0,75000.0
Germany,Less than a Bachelors,25-34 years old,8.0,52207.0
Germany,Master degree,25-34 years old,1.0,69609.0
United States of America,Bachelor degree,35-44 years old,17.0,205379.0
Germany,Less than a Bachelors,18-24 years old,2.0,43297.0
Australia,Less than a Bachelors,35-44 years old,16.0,84512.0
United States of America,Less than a Bachelors,45-54 years old,20.0,221000.0
United States of America,Bachelor degree,18-24 years old,2.0,80000.0
United States of America,Bachelor degree,35-44 years old,10.0,180000.0
Netherlands,Master degree,35-44 years old,6.0,83531.0
Germany,Bachelor degree,25-34 years old,8.0,98612.0
Netherlands,Master degree,45-54 years old,26.0,70554.0
Germany,Less than a Bachelors,35-44 years old,20.0,111374.0
United States of America,Master degree,25-34 years old,3.0,165000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,3.0,36758.0
United States of America,Bachelor degree,35-44 years old,19.0,130000.0
Germany,Post grad,35-44 years old,15.0,106269.0
United States of America,Bachelor degree,55-64 years old,37.0,160000.0
Germany,Master degree,45-54 years old,25.0,127616.0
United States of America,Bachelor degree,25-34 years old,10.0,140000.0
United States of America,Master degree,25-34 years old,4.0,112000.0
United States of America,Bachelor degree,35-44 years old,13.0,120000.0
Ukraine,Master degree,25-34 years old,9.0,56847.0
United States of America,Bachelor degree,25-34 years old,8.0,150000.0
Germany,Master degree,25-34 years old,10.0,92812.0
Netherlands,Master degree,35-44 years old,17.0,174022.0
Spain,Less than a Bachelors,35-44 years old,13.0,77730.0
Canada,Bachelor degree,45-54 years old,26.0,109438.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,8.0,54457.0
Brazil,Bachelor degree,35-44 years old,15.0,109222.0
Canada,Less than a Bachelors,35-44 years old,12.0,109438.0
Ukraine,Bachelor degree,18-24 years old,2.0,10000.0
Germany,Master degree,25-34 years old,8.0,77730.0
United States of America,Bachelor degree,55-64 years old,40.0,200000.0
Canada,Bachelor degree,25-34 years old,4.0,65663.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,7.0,204212.0
United States of America,Master degree,35-44 years old,13.0,150000.0
United States of America,Bachelor degree,35-44 years old,9.0,135000.0
United States of America,Bachelor degree,25-34 years old,12.0,130000.0
Germany,Bachelor degree,25-34 years old,8.0,150819.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,45-54 years old,30.0,163370.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,21.0,85769.0
Germany,Master degree,35-44 years old,13.0,104413.0
Italy,Post grad,35-44 years old,9.0,45246.0
Canada,Bachelor degree,35-44 years old,12.0,65663.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,12.0,98022.0
United States of America,Bachelor degree,35-44 years old,14.0,148000.0
United States of America,Master degree,25-34 years old,2.0,38000.0
Germany,Less than a Bachelors,25-34 years old,5.0,58471.0
Germany,Master degree,35-44 years old,15.0,96292.0
France,Master degree,25-34 years old,12.0,139218.0
Italy,Less than a Bachelors,18-24 years old,1.0,16242.0
France,Master degree,35-44 years old,14.0,91072.0
United States of America,Bachelor degree,25-34 years old,12.0,150000.0
United States of America,Master degree,45-54 years old,25.0,84000.0
Australia,Bachelor degree,65 years or older,45.0,97514.0
United States of America,Master degree,45-54 years old,30.0,250000.0
Australia,Bachelor degree,35-44 years old,20.0,110516.0
Germany,Master degree,35-44 years old,8.0,81210.0
United States of America,Bachelor degree,45-54 years old,26.0,128000.0
Germany,Less than a Bachelors,45-54 years old,28.0,51046.0
Germany,Master degree,35-44 years old,8.0,96292.0
United States of America,Post grad,55-64 years old,30.0,140000.0
Germany,Post grad,35-44 years old,3.0,60328.0
Germany,Master degree,45-54 years old,30.0,150819.0
United States of America,Post grad,35-44 years old,9.0,100000.0
Brazil,Bachelor degree,35-44 years old,23.0,27306.0
United States of America,Bachelor degree,25-34 years old,4.0,167000.0
Germany,Bachelor degree,25-34 years old,5.0,62648.0
United States of America,Bachelor degree,35-44 years old,21.0,170000.0
United States of America,Master degree,25-34 years old,10.0,200000.0
United States of America,Master degree,25-34 years old,9.0,120000.0
United States of America,Less than a Bachelors,35-44 years old,10.0,129000.0
Germany,Bachelor degree,25-34 years old,8.0,70769.0
Germany,Master degree,35-44 years old,17.0,116015.0
United States of America,Bachelor degree,35-44 years old,10.0,200000.0
Brazil,Master degree,35-44 years old,6.0,41868.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,3.0,62625.0
Canada,Master degree,55-64 years old,35.0,145917.0
United States of America,Master degree,35-44 years old,9.0,240000.0
United States of America,Bachelor degree,25-34 years old,5.0,102000.0
Australia,Master degree,45-54 years old,26.0,123518.0
United States of America,Post grad,55-64 years old,33.0,143000.0
United States of America,Bachelor degree,25-34 years old,8.0,120000.0
Spain,Master degree,35-44 years old,15.0,40605.0
United States of America,Bachelor degree,25-34 years old,5.0,104000.0
Canada,Less than a Bachelors,45-54 years old,26.0,87550.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,26.0,157243.0
Ukraine,Master degree,18-24 years old,5.0,47932.0
Netherlands,Master degree,35-44 years old,12.0,82370.0
Germany,Bachelor degree,55-64 years old,27.0,129936.0
Italy,Less than a Bachelors,18-24 years old,4.0,41765.0
United States of America,Master degree,45-54 years old,29.0,200000.0
United States of America,Master degree,25-34 years old,8.0,135000.0
Canada,Post grad,45-54 years old,20.0,75147.0
United States of America,Less than a Bachelors,35-44 years old,12.0,200000.0
United States of America,Bachelor degree,25-34 years old,4.0,85000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,10.0,149756.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,30.0,238248.0
United States of America,Post grad,35-44 years old,8.0,70000.0
France,Master degree,25-34 years old,3.0,60328.0
Germany,Less than a Bachelors,35-44 years old,20.0,73159.0
United States of America,Bachelor degree,25-34 years old,10.0,240000.0
Germany,Bachelor degree,45-54 years old,28.0,87011.0
Germany,Bachelor degree,35-44 years old,15.0,87011.0
United States of America,Master degree,35-44 years old,9.0,245000.0
Canada,Less than a Bachelors,45-54 years old,10.0,72958.0
United States of America,Bachelor degree,18-24 years old,2.0,100000.0
United States of America,Bachelor degree,25-34 years old,14.0,250000.0
United States of America,Bachelor degree,25-34 years old,7.0,115000.0
United States of America,Master degree,35-44 years old,20.0,150000.0
Canada,Bachelor degree,35-44 years old,18.0,204283.0
Australia,Less than a Bachelors,25-34 years old,9.0,169024.0
Canada,Less than a Bachelors,35-44 years old,13.0,94846.0
United States of America,Less than a Bachelors,35-44 years old,22.0,100000.0
United States of America,Bachelor degree,18-24 years old,4.0,250000.0
Italy,Master degree,25-34 years old,4.0,44086.0
Germany,Master degree,45-54 years old,20.0,92812.0
Canada,Bachelor degree,45-54 years old,30.0,102142.0
Brazil,Bachelor degree,35-44 years old,26.0,13034.0
United States of America,Master degree,45-54 years old,30.0,205000.0
United States of America,Less than a Bachelors,45-54 years old,20.0,43097.0
United States of America,Less than a Bachelors,25-34 years old,7.0,120000.0
France,Master degree,18-24 years old,2.0,75410.0
Brazil,Bachelor degree,25-34 years old,8.0,54611.0
United States of America,Master degree,45-54 years old,27.0,125000.0
Spain,Less than a Bachelors,35-44 years old,15.0,69609.0
United States of America,Less than a Bachelors,18-24 years old,2.0,40000.0
Australia,Master degree,45-54 years old,23.0,104015.0
United States of America,Post grad,35-44 years old,10.0,140000.0
United States of America,Bachelor degree,25-34 years old,6.0,165000.0
United States of America,Post grad,35-44 years old,23.0,115000.0
France,Master degree,25-34 years old,8.0,87011.0
United States of America,Post grad,35-44 years old,7.0,98000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,55-64 years old,42.0,91215.0
Germany,Less than a Bachelors,25-34 years old,6.0,61488.0
United Kingdom of Great Britain and Northern Ireland,Master degree,25-34 years old,5.0,59902.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,12.0,85769.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,16.0,73516.0
United States of America,Post grad,45-54 years old,23.0,210000.0
Germany,Bachelor degree,25-34 years old,5.0,55687.0
Netherlands,Less than a Bachelors,25-34 years old,8.0,63808.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,35-44 years old,18.0,91215.0
France,Master degree,25-34 years old,4.0,55687.0
United States of America,Master degree,35-44 years old,24.0,235000.0
Netherlands,Less than a Bachelors,25-34 years old,13.0,139218.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,7.0,44927.0
United States of America,Bachelor degree,35-44 years old,17.0,125000.0
United States of America,Bachelor degree,55-64 years old,35.0,180000.0
United States of America,Less than a Bachelors,35-44 years old,17.0,189000.0
Canada,Less than a Bachelors,25-34 years old,10.0,153213.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,18-24 years old,3.0,71474.0
Australia,Bachelor degree,45-54 years old,31.0,156022.0
United States of America,Bachelor degree,45-54 years old,6.0,162500.0
United States of America,Less than a Bachelors,25-34 years old,5.0,171000.0
Australia,Less than a Bachelors,35-44 years old,15.0,100765.0
Australia,Bachelor degree,35-44 years old,11.0,107265.0
Brazil,Bachelor degree,35-44 years old,15.0,30582.0
United States of America,Bachelor degree,35-44 years old,5.0,50000.0
Australia,Post grad,55-64 years old,36.0,149522.0
Australia,Master degree,45-54 years old,25.0,123518.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,21.0,170177.0
Brazil,Bachelor degree,35-44 years old,15.0,17476.0
Germany,Master degree,35-44 years old,12.0,114622.0
Australia,Less than a Bachelors,18-24 years old,3.0,61759.0
United States of America,Post grad,55-64 years old,30.0,170000.0
United States of America,Bachelor degree,25-34 years old,5.0,150000.0
United States of America,Bachelor degree,25-34 years old,16.0,220000.0
United States of America,Bachelor degree,25-34 years old,5.0,130000.0
United States of America,Bachelor degree,35-44 years old,12.0,200000.0
United States of America,Post grad,45-54 years old,27.0,200000.0
Australia,Bachelor degree,18-24 years old,3.0,55258.0
Australia,Bachelor degree,45-54 years old,20.0,99464.0
Australia,Less than a Bachelors,35-44 years old,15.0,141720.0
Australia,Bachelor degree,35-44 years old,15.0,166496.0
Australia,Bachelor degree,35-44 years old,12.0,110516.0
United States of America,Less than a Bachelors,35-44 years old,24.0,210000.0
United States of America,Bachelor degree,55-64 years old,32.0,145000.0
United States of America,Bachelor degree,35-44 years old,15.0,33800.0
United Kingdom of Great Britain and Northern Ireland,Master degree,35-44 years old,20.0,108913.0
United States of America,Post grad,45-54 years old,13.0,200000.0
United States of America,Bachelor degree,25-34 years old,3.0,70000.0
Australia,Bachelor degree,25-34 years old,10.0,117017.0
Canada,Less than a Bachelors,18-24 years old,1.0,51071.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,13.0,126612.0
United States of America,Bachelor degree,25-34 years old,7.0,115680.0
Germany,Bachelor degree,18-24 years old,1.0,48262.0
United States of America,Bachelor degree,18-24 years old,2.0,91000.0
United States of America,Bachelor degree,35-44 years old,15.0,190000.0
United States of America,Master degree,25-34 years old,10.0,165000.0
Australia,Master degree,35-44 years old,8.0,110516.0
United States of America,Bachelor degree,35-44 years old,13.0,92000.0
United States of America,Master degree,55-64 years old,30.0,135000.0
United States of America,Bachelor degree,35-44 years old,15.0,165000.0
United States of America,Bachelor degree,35-44 years old,18.0,101000.0
United States of America,Bachelor degree,35-44 years old,12.0,210000.0
Australia,Less than a Bachelors,45-54 years old,25.0,117017.0
Spain,Master degree,35-44 years old,10.0,69609.0
United States of America,Bachelor degree,55-64 years old,37.0,143000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,25-34 years old,7.0,91147.0
Canada,Less than a Bachelors,45-54 years old,32.0,87550.0
United States of America,Bachelor degree,45-54 years old,31.0,175000.0
United States of America,Less than a Bachelors,35-44 years old,15.0,201000.0
Germany,Bachelor degree,25-34 years old,4.0,75410.0
India,Bachelor degree,25-34 years old,4.0,17436.0
Australia,Less than a Bachelors,45-54 years old,35.0,85812.0
United States of America,Master degree,45-54 years old,20.0,160000.0
United States of America,Master degree,35-44 years old,9.0,210000.0
Germany,Master degree,35-44 years old,8.0,77730.0
United States of America,Bachelor degree,25-34 years old,3.0,20000.0
United States of America,Bachelor degree,25-34 years old,14.0,200000.0
Canada,Bachelor degree,35-44 years old,13.0,116733.0
United States of America,Less than a Bachelors,45-54 years old,28.0,163200.0
Australia,Master degree,35-44 years old,7.0,78011.0
United States of America,Less than a Bachelors,18-24 years old,3.0,40000.0
United States of America,Bachelor degree,35-44 years old,16.0,150000.0
United States of America,Bachelor degree,55-64 years old,36.0,205000.0
France,Master degree,25-34 years old,1.0,58007.0
Australia,Post grad,45-54 years old,21.0,87763.0
United States of America,Less than a Bachelors,55-64 years old,33.0,210000.0
Brazil,Master degree,35-44 years old,10.0,27306.0
United States of America,Less than a Bachelors,35-44 years old,24.0,241000.0
Australia,Bachelor degree,35-44 years old,20.0,102715.0
United States of America,Bachelor degree,25-34 years old,2.0,70000.0
United States of America,Less than a Bachelors,45-54 years old,26.0,135000.0
United States of America,Bachelor degree,35-44 years old,20.0,53000.0
Australia,Bachelor degree,25-34 years old,13.0,84512.0
United States of America,Bachelor degree,25-34 years old,3.0,130000.0
Canada,Less than a Bachelors,35-44 years old,25.0,30351.0
Australia,Bachelor degree,35-44 years old,6.0,97855.0
United States of America,Bachelor degree,18-24 years old,4.0,110000.0
Australia,Less than a Bachelors,35-44 years old,20.0,71510.0
United States of America,Less than a Bachelors,25-34 years old,9.0,160000.0
Canada,Less than a Bachelors,18-24 years old,2.0,131325.0
United States of America,Bachelor degree,35-44 years old,17.0,49000.0
United States of America,Bachelor degree,25-34 years old,6.0,180000.0
United States of America,Bachelor degree,55-64 years old,30.0,100000.0
United States of America,Bachelor degree,35-44 years old,14.0,165000.0
Australia,Master degree,25-34 years old,4.0,77361.0
Australia,Post grad,25-34 years old,3.0,97514.0
United States of America,Post grad,35-44 years old,9.0,232000.0
United States of America,Post grad,35-44 years old,15.0,108000.0
United States of America,Bachelor degree,35-44 years old,17.0,180000.0
United States of America,Master degree,35-44 years old,15.0,131000.0
United States of America,Bachelor degree,35-44 years old,18.0,182000.0
United States of America,Master degree,45-54 years old,28.0,230000.0
Germany,Less than a Bachelors,35-44 years old,21.0,55687.0
Australia,Bachelor degree,45-54 years old,22.0,97514.0
United States of America,Bachelor degree,55-64 years old,42.0,160000.0
Canada,Less than a Bachelors,25-34 years old,12.0,75877.0
Australia,Bachelor degree,25-34 years old,3.0,78011.0
Canada,Bachelor degree,18-24 years old,1.0,54719.0
India,Master degree,25-34 years old,10.0,116240.0
Australia,Bachelor degree,35-44 years old,14.0,97514.0
United States of America,Master degree,35-44 years old,15.0,130000.0
Canada,Bachelor degree,25-34 years old,5.0,94846.0
United States of America,Master degree,45-54 years old,24.0,140000.0
Brazil,Bachelor degree,25-34 years old,15.0,34077.0
United States of America,Bachelor degree,45-54 years old,29.0,200000.0
Australia,Master degree,45-54 years old,35.0,107916.0
United States of America,Bachelor degree,35-44 years old,18.0,220000.0
Australia,Bachelor degree,35-44 years old,20.0,97514.0
United States of America,Bachelor degree,45-54 years old,20.0,160000.0
Canada,Bachelor degree,35-44 years old,10.0,109438.0
Australia,Bachelor degree,25-34 years old,5.0,78011.0
United States of America,Bachelor degree,25-34 years old,10.0,75000.0
United States of America,Less than a Bachelors,45-54 years old,30.0,214000.0
Germany,Less than a Bachelors,25-34 years old,10.0,34804.0
Brazil,Bachelor degree,25-34 years old,6.0,21844.0
United States of America,Less than a Bachelors,25-34 years old,5.0,100000.0
Canada,Less than a Bachelors,18-24 years old,1.0,116733.0
Canada,Bachelor degree,25-34 years old,10.0,153213.0
United States of America,Bachelor degree,25-34 years old,8.0,210000.0
United States of America,Bachelor degree,55-64 years old,34.0,95000.0
Brazil,Post grad,35-44 years old,8.0,56795.0
United States of America,Bachelor degree,25-34 years old,3.0,150000.0
United States of America,Bachelor degree,35-44 years old,12.0,200000.0
United States of America,Master degree,35-44 years old,9.0,175000.0
United States of America,Bachelor degree,18-24 years old,2.0,165000.0
Australia,Master degree,25-34 years old,5.0,58508.0
United States of America,Bachelor degree,25-34 years old,3.0,82000.0
Canada,Bachelor degree,35-44 years old,16.0,127677.0
United States of America,Master degree,35-44 years old,12.0,184347.0
Brazil,Bachelor degree,25-34 years old,8.0,25485.0
United States of America,Bachelor degree,25-34 years old,4.0,30000.0
Canada,Master degree,55-64 years old,30.0,131325.0
United States of America,Bachelor degree,55-64 years old,33.0,105000.0
United States of America,Master degree,45-54 years old,23.0,230000.0
United States of America,Bachelor degree,35-44 years old,20.0,232000.0
Australia,Bachelor degree,35-44 years old,15.0,81262.0
Canada,Bachelor degree,35-44 years old,18.0,140080.0
United States of America,Bachelor degree,35-44 years old,20.0,210000.0
United States of America,Bachelor degree,35-44 years old,10.0,198000.0
United States of America,Less than a Bachelors,45-54 years old,30.0,150000.0
United States of America,Bachelor degree,25-34 years old,7.0,190000.0
Australia,Bachelor degree,35-44 years old,16.0,93613.0
Canada,Bachelor degree,25-34 years old,2.0,29183.0
United States of America,Less than a Bachelors,35-44 years old,14.0,100000.0
United States of America,Bachelor degree,25-34 years old,15.0,185000.0
United States of America,Master degree,35-44 years old,9.0,250000.0
Australia,Bachelor degree,45-54 years old,26.0,227533.0
Australia,Bachelor degree,35-44 years old,3.0,104015.0
Canada,Bachelor degree,25-34 years old,7.0,72958.0
United States of America,Less than a Bachelors,55-64 years old,30.0,200000.0
United States of America,Master degree,18-24 years old,1.0,131000.0
Australia,Bachelor degree,18-24 years old,1.0,45507.0
United States of America,Master degree,25-34 years old,3.0,80000.0
United States of America,Bachelor degree,25-34 years old,1.0,24000.0
Australia,Master degree,45-54 years old,36.0,104015.0
India,Bachelor degree,25-34 years old,3.0,27898.0
United States of America,Bachelor degree,35-44 years old,16.0,86500.0
United States of America,Bachelor degree,35-44 years old,11.0,145000.0
United States of America,Bachelor degree,18-24 years old,3.0,200000.0
United States of America,Bachelor degree,55-64 years old,25.0,140000.0
United States of America,Master degree,25-34 years old,4.0,190143.0
United States of America,Less than a Bachelors,25-34 years old,6.0,220000.0
United States of America,Master degree,45-54 years old,21.0,153000.0
United States of America,Bachelor degree,35-44 years old,14.0,138000.0
Canada,Bachelor degree,35-44 years old,2.0,87550.0
Canada,Less than a Bachelors,45-54 years old,13.0,87550.0
Australia,Bachelor degree,18-24 years old,3.0,68260.0
United States of America,Bachelor degree,25-34 years old,7.0,130000.0
United States of America,Master degree,25-34 years old,6.0,153745.0
Canada,Bachelor degree,35-44 years old,6.0,100000.0
United States of America,Bachelor degree,25-34 years old,4.0,160000.0
Brazil,Bachelor degree,18-24 years old,1.0,12069.0
United States of America,Bachelor degree,35-44 years old,7.0,240000.0
United States of America,Less than a Bachelors,35-44 years old,10.0,85000.0
Canada,Master degree,25-34 years old,6.0,80254.0
Australia,Bachelor degree,35-44 years old,13.0,100765.0
United States of America,Bachelor degree,25-34 years old,8.0,116000.0
Australia,Less than a Bachelors,45-54 years old,30.0,162523.0
India,Bachelor degree,25-34 years old,6.0,116240.0
United States of America,Master degree,35-44 years old,15.0,165000.0
