Country,YearsCodePro,Employment,EdLevel,ConvertedCompYearly,OrgSize,Age
United States of America,18.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",190000.0,100 to 499 employees,35-44 years old
Canada,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",94319.0,"1,000 to 4,999 employees",35-44 years old
United States of America,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",90000.0,100 to 499 employees,18-24 years old
United Kingdom of Great Britain and Northern Ireland,5.0,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45860.0,500 to 999 employees,35-44 years old
Portugal,3.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",46185.0,"1,000 to 4,999 employees",25-34 years old
France,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",51555.0,Other,25-34 years old
Russian Federation,9.0,"Employed, full-time",Some college/university study without earning a degree,141177.0,100 to 499 employees,25-34 years old
United States of America,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",75000.0,"1,000 to 4,999 employees",35-44 years old
France,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",41888.0,"10,000 or more employees",25-34 years old
Ukraine,16.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",53000.0,500 to 999 employees,35-44 years old
Germany,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",66592.0,20 to 99 employees,18-24 years old
Mexico,9.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42049.0,"10,000 or more employees",25-34 years old
United States of America,15.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",95000.0,Other,25-34 years old
Austria,2.0,"Employed, full-time;Student, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47259.0,"5,000 to 9,999 employees",25-34 years old
United Kingdom of Great Britain and Northern Ireland,13.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",94267.0,"1,000 to 4,999 employees",25-34 years old
United Kingdom of Great Britain and Northern Ireland,27.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",191082.0,"5,000 to 9,999 employees",45-54 years old
United States of America,15.0,"Independent contractor, freelancer, or self-employed;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",95550.0,20 to 99 employees,35-44 years old
Germany,27.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",150369.0,"1,000 to 4,999 employees",55-64 years old
Spain,12.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",76258.0,20 to 99 employees,25-34 years old
Ukraine,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15600.0,500 to 999 employees,18-24 years old
Ireland,12.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",107406.0,100 to 499 employees,25-34 years old
France,8.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",77332.0,100 to 499 employees,25-34 years old
Austria,25.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,Other,35-44 years old
Ukraine,1.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,100 to 499 employees,35-44 years old
Austria,10.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",86999.0,"10,000 or more employees",25-34 years old
Canada,28.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",151201.0,100 to 499 employees,45-54 years old
Brazil,3.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",16784.0,Other,18-24 years old
Germany,3.0,"Employed, full-time",Some college/university study without earning a degree,39955.0,Other,18-24 years old
United Kingdom of Great Britain and Northern Ireland,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",71337.0,100 to 499 employees,35-44 years old
United States of America,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,Other,25-34 years old
United States of America,30.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,200000.0,Other,45-54 years old
United Kingdom of Great Britain and Northern Ireland,30.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",154139.0,100 to 499 employees,45-54 years old
Brazil,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25250.0,"5,000 to 9,999 employees",25-34 years old
India,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14356.0,"10,000 or more employees",25-34 years old
Brazil,1.0,"Student, part-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6714.0,20 to 99 employees,18-24 years old
Canada,5.0,"Employed, full-time",Some college/university study without earning a degree,65424.0,Other,25-34 years old
Italy,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45111.0,100 to 499 employees,25-34 years old
United States of America,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",153000.0,20 to 99 employees,35-44 years old
Belgium,4.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",45111.0,20 to 99 employees,25-34 years old
Ireland,0.5,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3867.0,Other,18-24 years old
Germany,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75184.0,Other,35-44 years old
United Kingdom of Great Britain and Northern Ireland,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",121018.0,20 to 99 employees,25-34 years old
Poland,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",54442.0,100 to 499 employees,25-34 years old
United States of America,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",135000.0,"10,000 or more employees",45-54 years old
Kazakhstan,4.0,"Employed, full-time",Some college/university study without earning a degree,7976.0,20 to 99 employees,18-24 years old
Brazil,1.0,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Associate degree (A.A., A.S., etc.)",5051.0,Other,18-24 years old
Norway,2.0,"Student, full-time;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24072.0,"10,000 or more employees",18-24 years old
Hong Kong (S.A.R.),13.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",92155.0,"10,000 or more employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,4.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17834.0,Other,18-24 years old
Greece,10.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,Other,25-34 years old
United States of America,2.0,"Student, full-time;Employed, part-time",Some college/university study without earning a degree,17606.0,"10,000 or more employees",18-24 years old
Russian Federation,15.0,"Employed, full-time;Independent contractor, freelancer, or self-employed",Something else,22409.0,Other,35-44 years old
United Kingdom of Great Britain and Northern Ireland,20.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",95541.0,100 to 499 employees,35-44 years old
United States of America,10.0,"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30000.0,20 to 99 employees,25-34 years old
United States of America,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",150000.0,"10,000 or more employees",25-34 years old
Nepal,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7470.0,100 to 499 employees,18-24 years old
Netherlands,25.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",83707.0,20 to 99 employees,45-54 years old
Netherlands,20.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,161109.0,500 to 999 employees,35-44 years old
United Kingdom of Great Britain and Northern Ireland,25.0,"Employed, full-time",Some college/university study without earning a degree,89172.0,100 to 499 employees,35-44 years old
Germany,5.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",55851.0,Other,25-34 years old
Greece,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",31685.0,20 to 99 employees,18-24 years old
United Kingdom of Great Britain and Northern Ireland,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",84076.0,20 to 99 employees,35-44 years old
United Kingdom of Great Britain and Northern Ireland,9.0,"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,83439.0,100 to 499 employees,25-34 years old
Canada,9.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",87231.0,20 to 99 employees,25-34 years old
United States of America,12.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",131000.0,"1,000 to 4,999 employees",35-44 years old
United States of America,1.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0,Other,18-24 years old
Costa Rica,25.0,"Employed, full-time",Some college/university study without earning a degree,210000.0,500 to 999 employees,45-54 years old
Italy,1.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20407.0,Other,18-24 years old
Russian Federation,26.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",16807.0,Other,45-54 years old
France,2.0,"Student, part-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18259.0,"10,000 or more employees",18-24 years old
United States of America,2.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",117000.0,"10,000 or more employees",25-34 years old
Germany,8.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",123517.0,"10,000 or more employees",25-34 years old
Lithuania,21.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",70888.0,20 to 99 employees,35-44 years old
Ireland,17.0,"Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",51555.0,Other,35-44 years old
Netherlands,3.0,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",52788.0,100 to 499 employees,25-34 years old
Germany,3.0,"Employed, full-time;Student, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",19333.0,20 to 99 employees,18-24 years old
United Kingdom of Great Britain and Northern Ireland,39.0,"Employed, part-time",Some college/university study without earning a degree,82802.0,100 to 499 employees,55-64 years old
Spain,12.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",85925.0,500 to 999 employees,35-44 years old
United Kingdom of Great Britain and Northern Ireland,0.5,"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34395.0,Other,18-24 years old
India,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",49050.0,100 to 499 employees,18-24 years old
Belgium,10.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",59073.0,500 to 999 employees,25-34 years old
Germany,6.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",64444.0,500 to 999 employees,18-24 years old
Norway,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",68322.0,100 to 499 employees,25-34 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",127000.0,"1,000 to 4,999 employees",25-34 years old
Greece,5.0,"Employed, full-time;Student, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",53703.0,"10,000 or more employees",25-34 years old
United States of America,12.0,"Employed, full-time",Some college/university study without earning a degree,180000.0,"1,000 to 4,999 employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,20.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",48407.0,20 to 99 employees,35-44 years old
Brazil,1.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,6937.0,20 to 99 employees,25-34 years old
Italy,8.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",50481.0,Other,25-34 years old
Portugal,0.5,"Employed, full-time",Something else,16465.0,Other,25-34 years old
United States of America,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",142426.0,"10,000 or more employees",25-34 years old
Argentina,22.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,100 to 499 employees,35-44 years old
United States of America,30.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",210000.0,"10,000 or more employees",45-54 years old
Spain,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",80555.0,20 to 99 employees,35-44 years old
United Kingdom of Great Britain and Northern Ireland,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",63694.0,100 to 499 employees,35-44 years old
Poland,40.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29696.0,500 to 999 employees,65 years or older
France,6.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",80555.0,Other,25-34 years old
Ukraine,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",55835.0,"1,000 to 4,999 employees",35-44 years old
Netherlands,0.5,"Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10741.0,Other,Under 18 years old
Brazil,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27973.0,100 to 499 employees,25-34 years old
Italy,3.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",32222.0,Other,35-44 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",149315.0,20 to 99 employees,25-34 years old
Lithuania,17.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",118147.0,"1,000 to 4,999 employees",35-44 years old
Canada,28.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",128666.0,500 to 999 employees,35-44 years old
Poland,4.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",59391.0,"1,000 to 4,999 employees",25-34 years old
Portugal,11.0,"Employed, full-time;Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",127813.0,20 to 99 employees,35-44 years old
Colombia,6.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",6510.0,"1,000 to 4,999 employees",25-34 years old
United States of America,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",75000.0,500 to 999 employees,18-24 years old
United States of America,26.0,"Employed, full-time",Some college/university study without earning a degree,158000.0,Other,45-54 years old
Ukraine,9.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",66000.0,"5,000 to 9,999 employees",35-44 years old
United States of America,4.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",118000.0,100 to 499 employees,25-34 years old
United States of America,15.0,"Employed, part-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",180000.0,Other,45-54 years old
Canada,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",87231.0,"10,000 or more employees",18-24 years old
Canada,9.0,"Employed, full-time",Some college/university study without earning a degree,69785.0,20 to 99 employees,35-44 years old
Canada,15.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",159924.0,100 to 499 employees,35-44 years old
Poland,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",65331.0,"10,000 or more employees",25-34 years old
United States of America,25.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",164000.0,20 to 99 employees,55-64 years old
Germany,7.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",80555.0,"10,000 or more employees",35-44 years old
United States of America,11.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",179000.0,20 to 99 employees,25-34 years old
Ireland,12.0,"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",171850.0,"1,000 to 4,999 employees",25-34 years old
Germany,13.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",75184.0,20 to 99 employees,35-44 years old
United States of America,29.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",172000.0,100 to 499 employees,55-64 years old
Spain,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",37592.0,20 to 99 employees,25-34 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",140000.0,Other,25-34 years old
Ukraine,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",49368.0,"1,000 to 4,999 employees",35-44 years old
Ukraine,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75000.0,20 to 99 employees,25-34 years old
Canada,10.0,"Employed, full-time",Some college/university study without earning a degree,90866.0,"10,000 or more employees",25-34 years old
France,1.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",47259.0,"1,000 to 4,999 employees",18-24 years old
Israel,10.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12952.0,100 to 499 employees,18-24 years old
United Kingdom of Great Britain and Northern Ireland,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",114649.0,"10,000 or more employees",25-34 years old
United States of America,18.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0,"1,000 to 4,999 employees",35-44 years old
Egypt,2.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3497.0000000000005,Other,18-24 years old
United States of America,15.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42000.0,500 to 999 employees,45-54 years old
United States of America,7.0,"Employed, full-time",Some college/university study without earning a degree,64000.0,100 to 499 employees,25-34 years old
Canada,2.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",116309.0,20 to 99 employees,25-34 years old
Germany,6.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",60147.0,"1,000 to 4,999 employees",25-34 years old
Sweden,4.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",44831.0,Other,35-44 years old
Brazil,1.0,"Student, full-time;Employed, part-time",Some college/university study without earning a degree,3497.0000000000005,"1,000 to 4,999 employees",18-24 years old
United States of America,10.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"1,000 to 4,999 employees",25-34 years old
Poland,11.0,"Employed, full-time",Some college/university study without earning a degree,84138.0,Other,25-34 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",200000.0,"5,000 to 9,999 employees",25-34 years old
Singapore,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",125656.0,20 to 99 employees,25-34 years old
Poland,7.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",140000.0,20 to 99 employees,25-34 years old
Lithuania,17.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",69814.0,20 to 99 employees,35-44 years old
United States of America,11.0,"Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",42000.0,Other,25-34 years old
United Kingdom of Great Britain and Northern Ireland,29.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",76433.0,100 to 499 employees,45-54 years old
Switzerland,20.0,"Employed, full-time",Some college/university study without earning a degree,111417.0,Other,35-44 years old
Canada,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",109039.0,"10,000 or more employees",25-34 years old
Singapore,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",81307.0,20 to 99 employees,18-24 years old
United States of America,1.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",88000.0,"1,000 to 4,999 employees",25-34 years old
France,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36840.0,20 to 99 employees,18-24 years old
United States of America,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",180000.0,"10,000 or more employees",25-34 years old
United States of America,24.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,Other,45-54 years old
Brazil,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",56000.0,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",57325.0,"10,000 or more employees",18-24 years old
United Kingdom of Great Britain and Northern Ireland,1.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",63694.0,20 to 99 employees,18-24 years old
United States of America,34.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100000.0,20 to 99 employees,55-64 years old
Turkey,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25226.0,"10,000 or more employees",25-34 years old
United States of America,7.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",180000.0,20 to 99 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,6.0,"Employed, full-time",Some college/university study without earning a degree,180000.0,20 to 99 employees,25-34 years old
Nigeria,3.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3497.0000000000005,Other,25-34 years old
Bangladesh,4.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4079.0,100 to 499 employees,18-24 years old
United States of America,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",115000.0,"10,000 or more employees",25-34 years old
Poland,12.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",123732.0,"10,000 or more employees",25-34 years old
Russian Federation,5.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",48000.0,"1,000 to 4,999 employees",25-34 years old
Germany,5.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",128887.0,20 to 99 employees,35-44 years old
United States of America,13.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",86000.0,"10,000 or more employees",35-44 years old
Spain,11.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",128887.0,20 to 99 employees,25-34 years old
Hungary,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",43481.0,100 to 499 employees,25-34 years old
Ukraine,1.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27926.0,Other,18-24 years old
United States of America,12.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",180000.0,20 to 99 employees,35-44 years old
United States of America,22.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,"10,000 or more employees",35-44 years old
Sweden,17.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",133538.0,Other,35-44 years old
United States of America,10.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",210000.0,100 to 499 employees,35-44 years old
Italy,5.0,"Employed, full-time",Some college/university study without earning a degree,128887.0,20 to 99 employees,25-34 years old
India,18.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21534.0,Other,35-44 years old
Canada,38.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",66659.0,100 to 499 employees,55-64 years old
United States of America,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",90000.0,100 to 499 employees,35-44 years old
United States of America,27.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",144000.0,500 to 999 employees,65 years or older
Argentina,18.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24746.0,100 to 499 employees,18-24 years old
United States of America,8.0,"Employed, full-time",Some college/university study without earning a degree,152000.0,20 to 99 employees,35-44 years old
Ukraine,8.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",60000.0,100 to 499 employees,25-34 years old
United Kingdom of Great Britain and Northern Ireland,13.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",36000.0,20 to 99 employees,25-34 years old
United States of America,7.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",97000.0,Other,25-34 years old
Switzerland,10.0,"Independent contractor, freelancer, or self-employed","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",53480.0,Other,35-44 years old
Czech Republic,3.0,"Student, part-time;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",43435.0,100 to 499 employees,18-24 years old
Argentina,16.0,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6800.0,100 to 499 employees,35-44 years old
Spain,12.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",3497.0000000000005,100 to 499 employees,35-44 years old
United States of America,2.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",83500.0,"10,000 or more employees",25-34 years old
Brazil,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8951.0,Other,25-34 years old
United States of America,4.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",68000.0,20 to 99 employees,18-24 years old
Germany,3.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45111.0,100 to 499 employees,25-34 years old
United States of America,10.0,"Employed, full-time",Some college/university study without earning a degree,160000.0,Other,35-44 years old
South Korea,11.0,"Employed, full-time",Some college/university study without earning a degree,60202.0,100 to 499 employees,25-34 years old
Poland,5.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",67666.0,"5,000 to 9,999 employees",25-34 years old
Denmark,16.0,"Employed, full-time",Something else,54721.0,Other,25-34 years old
Netherlands,9.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",95592.0,20 to 99 employees,25-34 years old
Serbia,5.0,"Employed, full-time",Some college/university study without earning a degree,3938.0,100 to 499 employees,25-34 years old
Norway,10.0,"Employed, full-time",Some college/university study without earning a degree,93591.0,20 to 99 employees,45-54 years old
